,0
0,31477.876377284527
1,23320.16264486313
2,25123.983472794294
3,31809.237967073917
4,33992.13135808706
5,32981.08512891829
6,31905.57925018668
7,23337.513975143433
8,25188.844359904528
9,32480.138056769967
10,34520.007811293006
11,33161.68151085079
12,31846.274665534496
13,23515.636324763298
14,25240.5409860909
15,32305.800940692425
16,33924.27076163888
17,32449.26589860022
18,31411.29128548503
19,23457.636360406876
20,25220.755109101534
21,30947.606857195497
22,33443.51160171628
23,31804.792446494102
24,30469.232188999653
25,23092.57560276985
26,22868.544658064842
27,27788.123012840748
28,28333.133625507355
29,27257.147338598967
30,28486.26477882266
31,21372.479011654854
32,21349.827835917473
33,23673.087362647057
34,25242.0924911201
35,24552.260251045227
36,28830.76350811124
37,21234.250682353973
38,23800.826082110405
39,31936.307824343443
40,31471.557284757495
41,30281.462987929583
42,29724.2238034904
43,22312.466111063957
44,24603.210240364075
45,31527.348647803068
46,31836.306345432997
47,30497.596811920404
48,29988.64891949296
49,22438.113290071487
50,24730.715635806322
51,31684.652512073517
52,31634.899455040693
53,30083.052217274904
54,29135.074667543173
55,22131.888474822044
56,23769.48169207573
57,31368.592191934586
58,30336.075566112995
59,29030.924807190895
60,28998.61242160201
61,21961.99029839039
62,24067.28769803047
63,31073.142559170723
64,30875.46406698227
65,29271.785792440176
66,28721.236825317144
67,22000.359137415886
68,21790.986525058746
69,27060.355078846216
70,26672.631977826357
71,25551.111610800028
72,27362.739819437265
73,20869.68768262863
74,20620.109951257706
75,23444.126700162888
76,25221.075780063868
77,23998.678470492363
78,28364.06800341606
79,20936.752584338188
80,23558.725887060165
81,32232.91490378976
82,31855.147758692503
83,31274.1713449955
84,29708.413209438324
85,22411.218409061432
86,25173.097979813814
87,32168.52385547757
88,32814.914951846
89,32255.043194413185
90,29915.974669009447
91,22869.726833105087
92,25272.963851600885
93,32445.323121488094
94,33230.85849350691
95,32351.98872691393
96,29867.63870641589
97,22945.473781466484
98,25529.744714289904
99,32623.102365143597
100,32364.603380143642
101,32095.670324400067
