,0
0,31106.39633850822
1,23914.07756542099
2,25141.204917755564
3,32305.579420300448
4,34022.0239187093
5,33153.193754314285
6,31668.988611695637
7,24172.9379155087
8,25149.343892649544
9,33065.986198235696
10,34692.04878541992
11,33145.05558697854
12,31117.70484238318
13,24328.766653508832
14,25213.03157209359
15,32790.51773715616
16,34210.87254106371
17,32667.893553566373
18,31050.910562383622
19,24113.99293716545
20,25278.11755321138
21,31424.52827876493
22,33757.289748406394
23,31845.56454239089
24,29936.730103003913
25,23738.24350199243
26,22489.953864121788
27,27991.70922690517
28,29244.765552533972
29,27479.08313791923
30,27837.319537142474
31,21718.68020750228
32,20933.977095003793
33,23588.469704441643
34,25562.311626744355
35,24564.680330839525
36,27432.11988094179
37,21598.55016569416
38,24122.442989044855
39,31780.67360468671
40,31624.586478280733
41,30127.751272470352
42,29537.125330359322
43,22965.52680818449
44,24762.19139702377
45,31798.959546735758
46,31810.69491071172
47,30654.183187199673
48,29602.856813597366
49,22913.994297297602
50,25199.343105650838
51,32127.62923986085
52,31790.860000035387
53,30096.862659292867
54,29199.896332644814
55,22799.131158597334
56,23936.200249827947
57,31718.194858838575
58,30740.157005278605
59,28899.379484623438
60,28746.5464364581
61,22598.62554421732
62,24378.93038533132
63,31424.52827876493
64,31151.550225722625
65,29255.61268809238
66,28597.099978024617
67,22585.11082750772
68,21531.64953508842
69,26931.501700402303
70,27041.344568380566
71,25918.375931495164
72,26930.263179651378
73,21205.891553181253
74,19918.784301428394
75,23526.779228652234
76,25419.921495896015
77,23738.24350199243
78,26977.713927927733
79,21265.75975852626
80,23620.239097354854
81,31824.331626679577
82,32240.735147853593
83,31419.31599984067
84,29602.856813597366
85,22968.754787396785
86,25240.565270070612
87,32705.360688430035
88,33121.29999397974
89,32319.695654649484
90,29932.55132498188
91,23588.522060571144
92,25289.44705145898
93,32785.8911405175
94,33400.662600680975
95,32540.498920200465
96,29932.55132498188
97,23805.30286007491
98,25876.10801733492
99,33032.70710929194
100,32523.570326102996
101,32082.886791795652
102,29927.81717418567
103,23930.75797491765
104,26225.312230628322
105,32785.8911405175
106,32348.72959759609
107,31201.314052860773
108,29199.896332644814
109,23185.17684194625
110,22208.567801612164
